data_index,cluster,probability,outlier_score
0,-1,0.0,0.0021651529482363623
1,-1,0.0,0.014755768802731268
2,-1,0.0,0.06929979928990349
3,-1,0.0,0.022777278504992744
4,-1,0.0,0.015186470930389308
5,-1,0.0,0.018205823757444648
6,-1,0.0,0.03306006299279693
7,-1,0.0,0.22368683791600333
8,-1,0.0,0.013821310823951162
9,-1,0.0,0.028199154404609805
10,-1,0.0,0.00011929975169284834
11,-1,0.0,0.07241483886113821
12,-1,0.0,0.01647426721631406
13,-1,0.0,0.036802333732000224
14,-1,0.0,0.008457953425954354
15,-1,0.0,0.010669366594753111
16,-1,0.0,0.04001411052272295
17,-1,0.0,0.005003736044791189
18,-1,0.0,0.03592365343698319
19,-1,0.0,0.20267705842969283
20,-1,0.0,0.044802462461471355
21,-1,0.0,0.023695929796726786
22,-1,0.0,0.02326528772998945
23,-1,0.0,0.018438534792766678
24,-1,0.0,0.12709175591786234
25,-1,0.0,0.008684941673220745
26,-1,0.0,0.06580785255997176
27,-1,0.0,0.019568568228627545
28,-1,0.0,0.019568568228627545
29,-1,0.0,0.019568568228627545
30,-1,0.0,0.010785658160840334
31,-1,0.0,0.014084358910853296
32,-1,0.0,0.0076792511980654015
33,-1,0.0,0.01231799081047949
34,-1,0.0,0.04344562950801837
35,-1,0.0,0.05515690669375564
36,-1,0.0,0.00786750002342293
37,-1,0.0,0.03433113794506921
38,-1,0.0,0.0028083951420546224
39,-1,0.0,0.04123574294413182
40,-1,0.0,0.01585694786780318
41,-1,0.0,0.044989531721601465
42,-1,0.0,0.149235574678871
43,-1,0.0,0.0398684706339313
44,-1,0.0,0.2825653358922792
45,-1,0.0,0.09627088229213786
46,-1,0.0,0.002475173195744378
47,-1,0.0,0.004831183991891739
48,-1,0.0,0.014726645658543607
49,-1,0.0,0.030327311986886124
50,-1,0.0,0.004124350417543772
51,-1,0.0,0.040254830375453424
52,-1,0.0,0.03273469424737725
53,-1,0.0,0.02691647308038871
54,-1,0.0,0.08234869680292622
55,-1,0.0,0.042948951872529124
56,-1,0.0,0.008514777275028343
57,-1,0.0,0.04867648620350713
58,-1,0.0,0.011254901705352404
59,-1,0.0,0.03596906303049557
60,-1,0.0,0.027983789947345447
61,-1,0.0,0.25472811180235033
62,-1,0.0,0.040817101900780035
63,-1,0.0,0.044566577279863746
64,-1,0.0,0.05525815549422389
65,-1,0.0,0.07834714592538874
66,-1,0.0,0.01630318044165966
67,-1,0.0,0.04528294943401486
68,-1,0.0,0.05240068038236667
69,-1,0.0,0.03278800422593908
70,-1,0.0,0.0800154731091065
71,-1,0.0,0.062288221841940446
72,-1,0.0,0.062288221841940446
73,-1,0.0,0.03540236870298362
74,-1,0.0,0.03836258212365027
75,-1,0.0,0.11882068852360214
76,-1,0.0,0.03546885513755698
77,-1,0.0,0.023377675318472572
78,-1,0.0,0.00836844882849898
79,-1,0.0,0.044379292008738705
80,-1,0.0,0.022497958115804267
81,-1,0.0,0.030549724290806306
82,-1,0.0,0.04471483573645754
83,-1,0.0,0.003218312755031013
84,-1,0.0,0.03970233782319225
85,-1,0.0,0.001728970160094198
86,-1,0.0,0.041337721487082806
87,-1,0.0,0.04417549268471934
88,-1,0.0,0.05272910534628889
89,-1,0.0,0.017437449645325155
90,2,1.0,0.0
91,-1,0.0,0.012283947482566508
92,-1,0.0,0.008618718479682696
93,-1,0.0,0.004079540932904528
94,-1,0.0,0.05515690669375564
95,-1,0.0,0.006449714893312633
96,-1,0.0,0.004826598541081289
97,-1,0.0,0.05904106951189862
98,-1,0.0,0.03991841282855588
99,-1,0.0,0.015752735110048398
100,-1,0.0,0.009137092191318814
101,-1,0.0,0.04240215241431786
102,-1,0.0,0.07802613722882114
103,-1,0.0,0.05137673156769371
104,-1,0.0,0.01048918137452323
105,4,1.0,0.0
106,-1,0.0,0.043607486692253755
107,-1,0.0,0.05575713603946904
108,-1,0.0,0.0008182536978917906
109,-1,0.0,0.008044475234474489
110,-1,0.0,0.08357387965410569
111,-1,0.0,0.01576543294289263
112,-1,0.0,0.016164229762510467
113,-1,0.0,0.02331649388232109
114,9,1.0,0.0
115,-1,0.0,0.024872728337416192
116,-1,0.0,0.04962202024164826
117,-1,0.0,0.0455395606558958
118,-1,0.0,0.17267070682595786
119,-1,0.0,0.001706436809185238
120,-1,0.0,0.029707946805302397
121,-1,0.0,0.038461399700727386
122,-1,0.0,0.004268811119157592
123,-1,0.0,0.014002614094451587
124,-1,0.0,0.04096229031269809
125,-1,0.0,0.009399520734785886
126,-1,0.0,0.014515771958098249
127,-1,0.0,0.0416499915888703
128,-1,0.0,0.0338684620461565
129,-1,0.0,0.04128192973716049
130,-1,0.0,0.04616111080396499
131,-1,0.0,0.09953498799953919
132,-1,0.0,0.12566839190059753
133,-1,0.0,0.033590322998246554
134,-1,0.0,0.0052334977888758155
135,-1,0.0,0.02066635351725469
136,-1,0.0,0.0361767538797901
137,-1,0.0,0.1629248976838219
138,-1,0.0,0.028177380294011584
139,-1,0.0,0.10794544364115653
140,-1,0.0,0.062288221841940446
141,-1,0.0,0.012153118697569205
142,-1,0.0,0.01515435962750204
143,-1,0.0,0.07791582144258936
144,-1,0.0,0.049102173479649444
145,-1,0.0,0.02848074146504329
146,-1,0.0,0.0545818634244992
147,-1,0.0,0.07791582144258936
148,-1,0.0,0.013572437641608285
149,-1,0.0,0.0354071091752848
150,-1,0.0,0.0354071091752848
151,-1,0.0,0.015493010736377943
152,-1,0.0,0.004549160803137816
153,-1,0.0,2.5212171637446197e-06
154,-1,0.0,0.007398600724004507
155,-1,0.0,0.023695929796726786
156,-1,0.0,0.011382933906575259
157,-1,0.0,0.04854313092662828
158,-1,0.0,0.0987451533277717
159,-1,0.0,0.035049521122911154
160,-1,0.0,0.024067739634923792
161,-1,0.0,0.04471483573645754
162,-1,0.0,0.018178061647334154
163,9,1.0,0.0
164,9,1.0,0.0
165,-1,0.0,0.0016932886860900928
166,-1,0.0,0.1039292731138893
167,9,0.9841623267389356,0.015837673261064444
168,-1,0.0,0.01109589393746928
169,-1,0.0,0.01112666098715662
170,-1,0.0,0.014067569541392986
171,-1,0.0,0.007175664606487824
172,-1,0.0,0.026869657927911118
173,-1,0.0,0.01688698328359081
174,-1,0.0,0.0026341140330822274
175,-1,0.0,0.028515756404272972
176,-1,0.0,0.035806300545371914
177,-1,0.0,0.02243185183686758
178,-1,0.0,0.017722285895437635
179,-1,0.0,0.018162040408079387
180,-1,0.0,0.11018801953084585
181,-1,0.0,0.0064997780739563076
182,-1,0.0,0.03762039261343518
183,-1,0.0,0.1105516464678133
184,-1,0.0,0.031178700551460197
185,-1,0.0,0.12058357131543435
186,-1,0.0,0.004335131086844207
187,-1,0.0,0.012944087911797547
188,-1,0.0,0.172514011631412
189,-1,0.0,0.031020062662362072
190,-1,0.0,0.01632127216119309
191,-1,0.0,0.018178876831167017
192,-1,0.0,0.032862977846748666
193,-1,0.0,0.01632127216119309
194,-1,0.0,0.08595871216906185
195,0,1.0,0.0
196,-1,0.0,0.002488585925552338
197,-1,0.0,0.03231262958441145
198,-1,0.0,0.0009843051286828317
199,-1,0.0,0.032898252013062325
200,-1,0.0,0.0025411742105990003
201,-1,0.0,0.03117282266385314
202,-1,0.0,0.026788235278794686
203,-1,0.0,0.003912984993023489
204,-1,0.0,0.010909578013756527
205,-1,0.0,0.03196281349728506
206,-1,0.0,0.06547537225905868
207,-1,0.0,0.06963306946762757
208,-1,0.0,0.0020026252909129644
209,-1,0.0,0.1040721964796455
210,-1,0.0,0.07253118140522676
211,-1,0.0,0.032192689749532266
212,-1,0.0,0.014660940719387318
213,-1,0.0,0.033590322998246554
214,-1,0.0,0.10769108918921844
215,-1,0.0,0.17112894026302064
216,-1,0.0,0.14706010991703033
217,-1,0.0,0.042304521242406204
218,-1,0.0,0.18973076245922915
219,-1,0.0,0.2172145590599151
220,-1,0.0,0.1785692386332665
221,-1,0.0,0.03295220003484054
222,-1,0.0,0.0011623410562429588
223,-1,0.0,0.04953344630466411
224,-1,0.0,0.03361846287329393
225,-1,0.0,0.09069210179910724
226,-1,0.0,0.0041318712943581686
227,-1,0.0,0.017618169749757422
228,-1,0.0,0.044175054446265224
229,-1,0.0,0.12853277921151904
230,-1,0.0,0.03835148624022024
231,-1,0.0,0.023695929796726786
232,-1,0.0,0.04819100598624752
233,-1,0.0,0.01768081919565223
234,-1,0.0,0.02066635351725469
235,-1,0.0,0.0754614979362328
236,-1,0.0,0.07461765513292914
237,9,1.0,0.0
238,9,0.9841623267389356,0.015837673261064444
239,-1,0.0,0.010176309292590691
240,-1,0.0,0.039482530891179694
241,-1,0.0,0.15276693657498008
242,-1,0.0,0.03803810843117292
243,-1,0.0,0.008075859995121355
244,-1,0.0,0.17768485684065186
245,-1,0.0,0.052491255290512
246,-1,0.0,0.010729528550543859
247,-1,0.0,0.037929318492679186
248,-1,0.0,0.007636968235695695
249,-1,0.0,0.024383717164149176
250,-1,0.0,0.07461765513292914
251,-1,0.0,0.08128481367182787
252,-1,0.0,0.029645524406663584
253,-1,0.0,0.04094881164865143
254,-1,0.0,0.005975407397679566
255,-1,0.0,0.028515756404272972
256,-1,0.0,0.003958339121589318
257,-1,0.0,0.026652844410830084
258,-1,0.0,0.1757711183192031
259,-1,0.0,0.04698908890161858
260,-1,0.0,0.013822369311146988
261,-1,0.0,0.1539378079533563
262,-1,0.0,0.004424509422928328
263,-1,0.0,0.029707946805302397
264,-1,0.0,0.005372779349731178
265,-1,0.0,0.0249092130626296
266,-1,0.0,0.11055673369857906
267,-1,0.0,0.11366068885173428
268,-1,0.0,0.13473983555551292
269,-1,0.0,0.024998488735012783
270,-1,0.0,0.08246845338674166
271,-1,0.0,0.0024159743103222653
272,-1,0.0,0.00020601927353463808
273,-1,0.0,0.04306197654368187
274,-1,0.0,0.2074679565265314
275,-1,0.0,0.022583376804853093
276,-1,0.0,0.07309223714179741
277,-1,0.0,0.10099994039373424
278,-1,0.0,0.003524248107981544
279,-1,0.0,0.053033389126171934
280,-1,0.0,0.012542737762886471
281,-1,0.0,0.02763556207036346
282,-1,0.0,0.04943963694145491
283,-1,0.0,0.012237723472320374
284,-1,0.0,0.025413428428119316
285,-1,0.0,0.08954106887305688
286,-1,0.0,0.0012386985094015404
287,-1,0.0,0.02066635351725469
288,-1,0.0,0.05069852195979826
289,-1,0.0,0.019108184727186523
290,-1,0.0,0.031234689217142883
291,-1,0.0,0.035495356493392645
292,-1,0.0,0.048323057643361415
293,-1,0.0,0.010616876036522671
294,-1,0.0,0.0004155714536817453
295,-1,0.0,0.03408366751854929
296,-1,0.0,0.04616306436303355
297,-1,0.0,0.005372779349731178
298,-1,0.0,0.00502300562505308
299,-1,0.0,0.09946666866179196
300,-1,0.0,0.011352360524496534
301,-1,0.0,0.2438167629970525
302,-1,0.0,0.08353343882537358
303,-1,0.0,0.03271864651550478
304,-1,0.0,0.047437647141743214
305,-1,0.0,0.1586447631118338
306,-1,0.0,0.1727400790582308
307,-1,0.0,0.04827529828709936
308,-1,0.0,0.1911144254618564
309,-1,0.0,0.10074194703196876
310,-1,0.0,0.10564044513452336
311,-1,0.0,0.004405640507685735
312,0,0.9879651952554737,0.012034804744526291
313,-1,0.0,0.023186297687387353
314,-1,0.0,0.03481404605207942
315,0,1.0,0.0
316,-1,0.0,0.0017833362329197947
317,0,0.9857046567165864,0.014295343283413612
318,-1,0.0,0.13522331636430332
319,-1,0.0,0.03893224299262515
320,-1,0.0,0.04335315810513274
321,-1,0.0,0.128146883873823
322,-1,0.0,0.03675771968450803
323,-1,0.0,0.03061764669918082
324,-1,0.0,0.01630318044165966
325,-1,0.0,0.0014384895834154503
326,-1,0.0,0.008684941673220745
327,-1,0.0,0.041787280528005386
328,-1,0.0,0.000410347048365114
329,-1,0.0,0.245111150339366
330,-1,0.0,0.3093473694167348
331,-1,0.0,0.07292993061138729
332,-1,0.0,0.0012031662296328291
